gene_symbol|functions|functions_reference|processes|processes_reference|components|components_reference
SRRM1|Ribonuclease activity (GO:0004540)|-|Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)|-|Nucleus (GO:0005634)|12624182
SRRM2|RNA binding (GO:0003723)|-|Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)|-|Nucleus (GO:0005634)|10668804
C11orf59|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
C11orf57|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
C11orf56|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
C11orf55|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
AFAP1L2|Transcription regulator activity (GO:0030528)|17412687|Signal transduction (GO:0007165)|17412687|Cytoplasm (GO:0005737)|17412687
C11orf53|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
C11orf52|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
CSHL1|Hormone activity (GO:0005179)|-|Biological_process unknown (GO:0000004)|-|Extracellular (GO:0005576)|2744760
C11orf51|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
AFAP1L1|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
C11orf54|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
C11orf58|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
NGEF|Guanyl-nucleotide exchange factor activity (GO:0005085)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Plasma membrane (GO:0005886);Cytoplasm (GO:0005737)|11336673
C11orf49|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
C11orf48|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
C11orf47|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
C11orf46|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
C11orf45|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
C11orf44|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
C11orf42|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
C11orf41|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
C11orf40|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
PTDSS2|Transferase activity (GO:0016740)|-|Metabolism (GO:0008152);Energy pathways (GO:0006091)|-|Mitochondrion (GO:0005739)|10938271
PTDSS1|Transferase activity (GO:0016740)|-|Metabolism (GO:0008152);Energy pathways (GO:0006091)|-|Mitochondrion (GO:0005739)|10938271
TIMD4|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
TNNI1|Structural molecule activity (GO:0005198)|-|Cell growth and/or maintenance (GO:0008151)|-|Cytoplasm (GO:0005737)|1934363
TNNI2|Structural molecule activity (GO:0005198)|-|Cell growth and/or maintenance (GO:0008151)|-|Cytoplasm (GO:0005737)|10077564
TNNI3|Structural molecule activity (GO:0005198)|-|Cell growth and/or maintenance (GO:0008151)|-|-|-
NGFB|Growth factor activity (GO:0008083)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Extracellular (GO:0005576)|8633048
C11orf39|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
C11orf38|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
C11orf37|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
C11orf36|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
C11orf35|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
C11orf31|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
C11orf30|Transcription regulator activity (GO:0030528)|-|Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)|-|Nucleus (GO:0005634);Cytoplasm (GO:0005737);Plasma membrane (GO:0005886)|14651845;14981236
NGFR|Receptor activity (GO:0004872)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Plasma membrane (GO:0005886)|1324502
STRA13|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
C11orf24|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|Plasma membrane (GO:0005886)|11401438
C11orf21|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|Cytoplasm (GO:0005737)|11054561
GPAM|Acyltransferase activity (GO:0008415)|-|Metabolism (GO:0008152);Energy pathways (GO:0006091)|-|Mitochondrion (GO:0005739);Endoplasmic reticulum (GO:0005783)|11546763;2242030;2303421
C5AR1|G-protein coupled receptor activity (GO:0004930)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Plasma membrane (GO:0005886)|8573284;12600272
GLYAT|Acyltransferase activity (GO:0008415)|-|Metabolism (GO:0008152);Energy pathways (GO:0006091)|-|Mitochondrion (GO:0005739)|7802672;9202629
MMS19L|Transcription regulator activity (GO:0030528)|-|Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)|-|Nucleus (GO:0005634)|11279242;11071939
C11orf17|Protein kinase binding (GO:0019901)|15630084|Biological_process unknown (GO:0000004)|-|Nucleus (GO:0005634)|15630084
C11orf16|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
MAML1|Transcription regulator activity (GO:0030528)|-|Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)|-|Nucleus (GO:0005634)|11390662;11101851
MAML2|Transcription regulator activity (GO:0030528)|-|Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)|-|Nucleus (GO:0005634)|12370315
MAML3|DNA binding (GO:0003677)|-|Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)|-|Nucleus (GO:0005634)|12386158
C11orf10|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|Integral to membrane (GO:0016021)|-
GPC1|Receptor activity (GO:0004872)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Plasma membrane (GO:0005886);Extracellular (GO:0005576)|10527946;11454708
GPC2|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|Plasma membrane (GO:0005886)|8294498
GPC3|Molecular function unknown (GO:0005554)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Extracellular (GO:0005576);Plasma membrane (GO:0005886)|8589713;9853964
GPC4|Growth factor binding (GO:0019838)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Plasma membrane (GO:0005886)|10585884
GPC5|Receptor activity (GO:0004872)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Plasma membrane (GO:0005886)|9070915
GPC6|Growth factor activity (GO:0008083)|-|Biological_process unknown (GO:0000004)|-|Plasma membrane (GO:0005886)|-
NPEPL1|Aminopeptidase activity (GO:0004177)|-|Protein metabolism (GO:0019538)|-|-|-
CSNK1A1|Protein serine/threonine kinase activity (GO:0004674)|15687492|Cell cycle (GO:0007049)|12062430|Nucleoplasm (GO:0005654);Cytoskeleton (GO:0005856);Synaptic vesicle (GO:0008021);Cytoplasm (GO:0005737);Nucleus (GO:0005634);Nucleolus (GO:0005730);Kinetochore (GO:0000776);Centrosome (GO:0005813);Microtubule (GO:0005874)|10413673;1409656;7622570;15635413
GPD1|Catalytic activity (GO:0003824)|-|Metabolism (GO:0008152);Energy pathways (GO:0006091)|-|Cytoplasm (GO:0005737)|9851831
GPD2|Catalytic activity (GO:0003824)|-|Metabolism (GO:0008152);Energy pathways (GO:0006091)|-|Mitochondrion (GO:0005739)|8549872
CD164L2|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
TDRD10|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
HEATR5A|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
HEATR5B|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
SHOX|DNA binding (GO:0003677)|11751690|Regulation of cell proliferation (GO:0042127);Skeletal development (GO:0001501);Apoptosis (GO:0006915)|15145945;15292358|Nucleus (GO:0005634);Cytoplasm (GO:0005737)|11751690;12784295;15292358
KRCC1|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
BARD1|Transcription regulator activity (GO:0030528)|-|Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)|-|Nucleus (GO:0005634);Cytoplasm (GO:0005737)|9342365;11925436
RGSL1|Regulator of G-protein signaling activity (GO:0016299)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Integral to membrane (GO:0016021)|-
SHQ1|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
H1F0|DNA binding (GO:0003677)|-|Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)|-|Nucleus (GO:0005634);Cytoplasm (GO:0005737)|9770363;7511470
TGFB1I1|Transcription regulator activity (GO:0030528)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Nucleus (GO:0005634)|9032249
RGSL2|Molecular function unknown (GO:0005554)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Nucleus (GO:0005634)|12651916
DEC1|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|Cytoplasm (GO:0005737)|10612805
RC3H1|Ubiquitin binding (GO:0043130)|15917799|Protein metabolism (GO:0019538)|15917799|Cytoplasm (GO:0005737)|15917799
RC3H2|DNA binding (GO:0003677)|-|Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)|-|Endoplasmic reticulum (GO:0005783);Plasma membrane (GO:0005886)|10938276
HVCN1|Molecular function unknown (GO:0005554);Voltage-gated ion channel activity (GO:0005244)|16554753|Biological_process unknown (GO:0000004);Ion transport (GO:0006811)|16554753|Integral to membrane (GO:0016021)|-
H1FX|DNA binding (GO:0003677)|-|Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)|-|Nucleus (GO:0005634);Nucleolus (GO:0005730)|1879604;15635413
NEURL|Transcription regulator activity (GO:0030528)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Nucleus (GO:0005634);Cytoplasm (GO:0005737);Plasma membrane (GO:0005886)|12213446;11997106
IFI6|Cytokine activity (GO:0005125)|-|Anti-apoptosis (GO:0006916);Immune response (GO:0006955)|15685448;3017706|Mitochondrion (GO:0005739)|15685448
DEDD|DNA binding (GO:0003677)|11753564;9832420|Apoptosis (GO:0006915)|11753564;9832420|Nucleus (GO:0005634);Cytoplasm (GO:0005737);Nucleolus (GO:0005730)|11753564;11965497;9774341
ALMS1|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|Nucleus (GO:0005634)|11941369
SMR3A|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
COL7A1|Extracellular matrix structural constituent (GO:0005201)|-|Cell growth and/or maintenance (GO:0008151)|-|Extracellular (GO:0005576)|1871109
SMR3B|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|Extracellular (GO:0005576)|479131
GPHN|Receptor binding (GO:0005102);Molecular function unknown (GO:0005554)|10947798;7546736;9565032|Synapse organization and biogenesis (GO:0050808);Signal transduction (GO:0007165);Cell communication (GO:0007154)|9565032|Dendrite (GO:0030425);Nucleus (GO:0005634);Synapse (GO:0045202);Cytosol (GO:0005829)|12535948;10839351;12097491;1319186
TIMM9|Transporter activity (GO:0005215)|-|Cell growth and/or maintenance (GO:0008151)|-|Mitochondrial membrane (GO:0005740);Mitochondrion (GO:0005739)|14726512;10611480
DEF6|Guanyl-nucleotide exchange factor activity (GO:0005085)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Cytoplasm (GO:0005737);Plasma membrane (GO:0005886)|12651066;15023524
EZH1|Transcription regulator activity (GO:0030528)|-|Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)|-|Nucleus (GO:0005634)|-
EZH2|Transcription regulator activity (GO:0030528)|-|Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)|-|Nucleus (GO:0005634)|9584199
VSX1|Transcription factor activity (GO:0003700)|15647262|Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)|15647262|Nucleus (GO:0005634)|10903837
CSNK1G1|Protein serine/threonine kinase activity (GO:0004674)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|-|-
CSNK1G2|Protein serine/threonine kinase activity (GO:0004674)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Plasma membrane (GO:0005886)|12062430
CSNK1G3|Protein serine/threonine kinase activity (GO:0004674)|9925945|Signal transduction (GO:0007165)|9925945|Cytoplasm (GO:0005737);Nucleus (GO:0005634)|7759525
PDE1A|Phosphoric diester hydrolase activity (GO:0008081)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Cytoplasm (GO:0005737)|11369604
PDE1B|Phosphoric diester hydrolase activity (GO:0008081)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Cytoplasm (GO:0005737)|8855339
PDE1C|Phosphoric diester hydrolase activity (GO:0008081)|-|Metabolism (GO:0008152);Energy pathways (GO:0006091)|-|Cytoplasm (GO:0005737)|11369604
ADAM2|Metallopeptidase activity (GO:0008237)|-|Protein metabolism (GO:0019538)|-|Plasma membrane (GO:0005886)|8702389
AP1GBP1|Transporter activity (GO:0005215)|12042876;10747088|Transport (GO:0006810)|12042876;10747088|Plasma membrane (GO:0005886);Golgi apparatus (GO:0005794)|10747088;10477754
ADAM7|Metallopeptidase activity (GO:0008237)|-|Protein metabolism (GO:0019538)|-|Plasma membrane (GO:0005886)|11514362
ADAM8|Metallopeptidase activity (GO:0008237)|-|Protein metabolism (GO:0019538)|-|Plasma membrane (GO:0005886)|9126482
ADAM9|Metallopeptidase activity (GO:0008237)|11831872;9857183|Protein metabolism (GO:0019538)|11831872;9857183|Plasma membrane (GO:0005886)|8647900
NOXA1|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
ALS2CL|Molecular function unknown (GO:0005554)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Cytoplasm (GO:0005737);Endosome (GO:0005768)|15388334
PDE2A|Phosphoric diester hydrolase activity (GO:0008081)|-|Metabolism (GO:0008152);Energy pathways (GO:0006091)|-|Cytoplasm (GO:0005737);Nucleus (GO:0005634)|10375378
TNNT1|Structural constituent of cytoskeleton (GO:0005200)|-|Cell growth and/or maintenance (GO:0008151)|-|Cytoplasm (GO:0005737)|10451243;10601315
TNNT2|Structural molecule activity (GO:0005198)|12732643|Cell growth and/or maintenance (GO:0008151)|12732643|Cytoplasm (GO:0005737)|-
TNNT3|Cytoskeletal protein binding (GO:0008092)|-|Cell growth and/or maintenance (GO:0008151)|-|Extracellular (GO:0005576)|16188874
TIMP1|Extracellular matrix structural constituent (GO:0005201)|-|Cell growth and/or maintenance (GO:0008151)|-|Extracellular (GO:0005576)|3010309
TIMP2|Extracellular matrix structural constituent (GO:0005201)|-|Cell growth and/or maintenance (GO:0008151)|-|Extracellular (GO:0005576)|1480041
TIMP3|Extracellular matrix structural constituent (GO:0005201)|-|Cell growth and/or maintenance (GO:0008151)|-|Extracellular (GO:0005576)|9642234
TIMP4|Protease inhibitor activity (GO:0030414)|-|Protein metabolism (GO:0019538)|-|Extracellular (GO:0005576);Cytoplasm (GO:0005737)|8939999;12087081
ECHDC2|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
ECHDC3|Molecular function unknown (GO:0005554)|-|Metabolism (GO:0008152);Energy pathways (GO:0006091)|-|-|-
ECHDC1|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
PDE3A|Phosphoric diester hydrolase activity (GO:0008081)|-|Metabolism (GO:0008152);Energy pathways (GO:0006091)|-|Plasma membrane (GO:0005886)|12154085
PDE3B|Phosphoric diester hydrolase activity (GO:0008081)|-|Metabolism (GO:0008152);Energy pathways (GO:0006091)|-|Endoplasmic reticulum (GO:0005783)|10952971
DYX1C1|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|Nucleus (GO:0005634);Cytoplasm (GO:0005737)|12954984
EPB41|Structural molecule activity (GO:0005198)|-|Cell growth and/or maintenance (GO:0008151)|-|Plasma membrane (GO:0005886);Nucleus (GO:0005634);Cytoplasm (GO:0005737);Centrosome (GO:0005813);Cytoskeleton (GO:0005856)|9598318;11737230;12960380;12239178;12427749;2808371;9207085;10189366;15184364
EPB42|Structural molecule activity (GO:0005198)|-|Cell growth and/or maintenance (GO:0008151)|-|Plasma membrane (GO:0005886)|1689063
EPAS1|Transcription factor activity (GO:0003700)|-|Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)|-|Nucleus (GO:0005634)|11313887;17324924
EPB49|Structural molecule activity (GO:0005198)|-|Cell growth and/or maintenance (GO:0008151)|-|Cytoplasm (GO:0005737);Plasma membrane (GO:0005886)|8341682;7615546
NGRN|Molecular function unknown (GO:0005554)|-|Cell growth and/or maintenance (GO:0008151)|11118320|Nucleus (GO:0005634);Cytoplasm (GO:0005737)|11118320
BFSP1|Structural constituent of cytoskeleton (GO:0005200)|-|Cell growth and/or maintenance (GO:0008151)|-|Cytoplasm (GO:0005737);Plasma membrane (GO:0005886)|9628810;7679620;7615661
BFSP2|Structural constituent of cytoskeleton (GO:0005200)|-|Cell growth and/or maintenance (GO:0008151)|-|Plasma membrane (GO:0005886);Cytoplasm (GO:0005737)|8636093;7504675;10753642
PDE4A|Phosphoric diester hydrolase activity (GO:0008081)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Cytosol (GO:0005829);Plasma membrane (GO:0005886);Cytoplasm (GO:0005737)|12810716;8940140;9677330;7888306
PDE4B|Phosphoric diester hydrolase activity (GO:0008081)|8384210|Signal transduction (GO:0007165)|16293762|Cytoplasm (GO:0005737)|12441002;14585965;9371714
IFNG|Cytokine activity (GO:0005125)|-|Immune response (GO:0006955)|-|Extracellular (GO:0005576);Nucleus (GO:0005634)|12165521
PDE4C|Phosphoric diester hydrolase activity (GO:0008081)|7843419|Metabolism (GO:0008152)|7843419|-|-
PDE4D|Phosphoric diester hydrolase activity (GO:0008081)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Cytoplasm (GO:0005737)|9371713
IFNK|Cytokine activity (GO:0005125)|-|Immune response (GO:0006955)|-|Extracellular (GO:0005576)|11514542
ZKSCAN1|Transcription regulator activity (GO:0030528)|-|Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)|-|Nucleus (GO:0005634)|-
ZKSCAN2|DNA binding (GO:0003677)|-|Biological_process unknown (GO:0000004)|-|Nucleus (GO:0005634)|-
SHPRH|Transcription regulator activity (GO:0030528)|-|Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)|-|Nucleus (GO:0005634)|12837266
ZKSCAN3|Transcription factor activity (GO:0003700)|-|Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)|-|Nucleus (GO:0005634)|-
ZKSCAN5|Transcription regulator activity (GO:0030528)|-|Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)|-|Nucleus (GO:0005634)|-
GSPT1|GTPase activity (GO:0003924)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Cytoplasm (GO:0005737);Endoplasmic reticulum (GO:0005783)|12865429
GSPT2|Molecular function unknown (GO:0005554)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Cytoplasm (GO:0005737)|12354098
ZKSCAN4|Molecular function unknown (GO:0005554)|-|Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)|-|Nucleus (GO:0005634)|-
CIAPIN1|Molecular function unknown (GO:0005554)|-|Cell growth and/or maintenance (GO:0008151)|-|Cytoplasm (GO:0005737)|14970183
INSL3|Molecular function unknown (GO:0005554)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Extracellular (GO:0005576)|10451226
INSL4|Growth factor activity (GO:0008083)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Extracellular (GO:0005576)|8702754
PDE5A|Phosphoric diester hydrolase activity (GO:0008081)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Nucleus (GO:0005634);Cytoplasm (GO:0005737)|11358813
INSL5|Growth factor activity (GO:0008083)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Extracellular (GO:0005576)|8702754
INSL6|Peptide hormone (GO:0005180)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Extracellular (GO:0005576)|10598589
DCLK3|Protein serine/threonine kinase activity (GO:0004674)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|11214970|-|-
UBQLNL|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
INSM1|Transcription factor activity (GO:0003700)|-|Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)|-|Nucleus (GO:0005634)|12079283
INSM2|DNA binding (GO:0003677)|-|Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)|-|Nucleus (GO:0005634)|-
PDE6A|Hydrolase activity (GO:0016787)|-|Metabolism (GO:0008152);Energy pathways (GO:0006091)|-|Plasma membrane (GO:0005886)|1326553
PDE6B|Hydrolase activity (GO:0016787)|-|Metabolism (GO:0008152);Energy pathways (GO:0006091)|-|Plasma membrane (GO:0005886)|1326553
PDE6C|Phosphoric diester hydrolase activity (GO:0008081)|-|Metabolism (GO:0008152);Energy pathways (GO:0006091)|-|-|-
PDE6D|Hydrolase activity (GO:0016787)|-|Metabolism (GO:0008152);Energy pathways (GO:0006091)|-|Cytoplasm (GO:0005737);Cytoplasmic vesicle (GO:0016023)|9712853
PDE6G|Enzyme inhibitor activity (GO:0004857)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Cytoplasm (GO:0005737)|-
PDE6H|Phosphoric diester hydrolase activity (GO:0008081)|-|Metabolism (GO:0008152);Energy pathways (GO:0006091)|-|-|-
UBQLN4|Ubiquitin-specific protease activity (GO:0004843)|-|Protein metabolism (GO:0019538)|-|Nucleus (GO:0005634)|11001934
UBQLN3|Ubiquitin-specific protease activity (GO:0004843)|-|Protein metabolism (GO:0019538)|-|-|-
UBQLN2|Ubiquitin-specific protease activity (GO:0004843)|-|Protein metabolism (GO:0019538)|-|Cytoplasm (GO:0005737);Nucleus (GO:0005634)|10983987
MPPED2|Hydrolase activity (GO:0016787)|-|Metabolism (GO:0008152);Energy pathways (GO:0006091)|-|-|-
NSDHL|Catalytic activity (GO:0003824)|-|Metabolism (GO:0008152);Energy pathways (GO:0006091)|-|Endoplasmic reticulum (GO:0005783);Golgi apparatus (GO:0005794)|14506130
MPPED1|Hydrolase activity (GO:0016787)|-|Metabolism (GO:0008152);Energy pathways (GO:0006091)|-|-|-
UBQLN1|Ubiquitin-specific protease activity (GO:0004843)|-|Protein metabolism (GO:0019538)|-|Endoplasmic reticulum (GO:0005783);Cytoplasm (GO:0005737);Nucleus (GO:0005634)|12095988;11853878;15492808;11076969
PDE7A|Phosphoric diester hydrolase activity (GO:0008081)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Cytoplasm (GO:0005737)|12388353
PDE7B|Phosphoric diester hydrolase activity (GO:0008081)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Cytoplasm (GO:0005737)|-
EDIL3|Extracellular matrix structural constituent (GO:0005201)|-|Cell growth and/or maintenance (GO:0008151)|-|Extracellular (GO:0005576)|9420328
SMARCE1|DNA binding (GO:0003677)|-|Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)|-|Nucleus (GO:0005634)|9435219
PDE8A|Phosphoric diester hydrolase activity (GO:0008081)|9618252|CAMP-mediated signaling (GO:0019933);Energy pathways (GO:0006091)|12681444|Membrane fraction (GO:0005624);Cytoplasm (GO:0005737)|12681444
PDE8B|Phosphoric diester hydrolase activity (GO:0008081)|9784418|Metabolism (GO:0008152)|9784418|Cytoplasm (GO:0005737);Membrane fraction (GO:0005624)|12681444
ADAT1|Deaminase activity (GO:0019239)|-|Metabolism (GO:0008152);Energy pathways (GO:0006091)|-|-|-
BOLL|RNA binding (GO:0003723)|11390979|Regulation of cell cycle (GO:0000074)|12499397|Cytoplasm (GO:0005737);Nucleus (GO:0005634)|11390979;15070965;9882490
MLXIPL|Transcription regulator activity (GO:0030528);Transcription factor activity (GO:0003700)|11230181|Regulation of gene expression, epigenetic (GO:0040029);Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)|-|Nucleus (GO:0005634);Cytoplasm (GO:0005737)|11724780;15163635;11698644
SMARCD3|Transcription factor binding (GO:0008134)|14701856|Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)|14701856|Nucleus (GO:0005634)|14701856
SMARCD2|DNA binding (GO:0003677)|-|Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)|-|Nucleus (GO:0005634)|8804307
SMARCD1|Transcription regulator activity (GO:0030528)|8804307;11053448|Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)|8804307|Nucleus (GO:0005634)|9892636
GPR1|G-protein coupled receptor activity (GO:0004930)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Plasma membrane (GO:0005886)|7851889
GPR3|G-protein coupled receptor activity (GO:0004930)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Plasma membrane (GO:0005886)|7832990
GPR4|G-protein coupled receptor activity (GO:0004930)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Plasma membrane (GO:0005886)|14567679
PRSS36|Peptidase activity (GO:0008233)|15536082|Proteolysis and peptidolysis (GO:0006508)|15536082|Extracellular (GO:0005576)|15536082
GPR6|G-protein coupled receptor activity (GO:0004930)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Plasma membrane (GO:0005886)|12649592
PRSS35|Peptidase activity (GO:0008233)|-|Protein metabolism (GO:0019538)|-|-|-
DENR|Molecular function unknown (GO:0005554)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|-|-
PRSS33|Serine-type peptidase activity (GO:0008236)|-|Protein metabolism (GO:0019538)|-|Endoplasmic reticulum (GO:0005783)|12795636
PDE9A|Phosphoric diester hydrolase activity (GO:0008081)|9624146|CGMP-mediated signaling (GO:0019934)|12565835|-|-
SAP30BP|Transcription regulator activity (GO:0030528)|-|Biological_process unknown (GO:0000004)|-|Nucleus (GO:0005634)|15496587
CH25H|Catalytic activity (GO:0003824)|-|Metabolism (GO:0008152);Energy pathways (GO:0006091)|-|Endoplasmic reticulum (GO:0005783);Golgi apparatus (GO:0005794)|9852097
